rank,opportunity,type,target_context,why_first,first_action
1,Zip World,direct_sponsor_or_premium_operator,"Snowdonia zip-lining; Snowdonia region; itinerary adventure weekend","Existing operator data; major brand; strong reviews; iconic activity","Treat as strategic big player; build/QA premium profile before outreach"
2,TYF Adventure,direct_sponsor_or_premium_operator,"Pembrokeshire coasteering; sea kayaking; surfing; operator profile","B Corp; coasteering origin story; high trust","Build premium lure page; pitch owning Pembrokeshire coasteering context"
3,Preseli Venture,premium_operator_and_accommodation_service_slots,"Pembrokeshire coasteering/surfing/kayaking; eco-accommodation","Combines activities and stays; good fit for itineraries","Offer premium operator plus accommodation partner placement"
4,Plas y Brenin,direct_sponsor_or_education_partner,"Snowdonia climbing; kayaking; hill walking; courses","National Outdoor Centre; training authority","Pitch skills/course placement rather than casual day-trip booking"
5,Adventure Britain,premium_operator,"Brecon Beacons/Gower canyoning; caving; gorge walking; groups","Broad activities; groups/corporate angle","Build region/activity package placement"
6,BikePark Wales,direct_sponsor_or_premium_operator,"Brecon Beacons MTB; MTB guides; bike hire/coaching","UK's largest bike park; strong brand","Pitch MTB hub sponsorship and featured operator treatment"
7,Coed y Brenin / NRW,strategic_content_partner,"Snowdonia mountain biking; trail running; walking","Foundational MTB centre; likely not classic paid sponsor","Treat as authority content partner; use to build credibility"
8,Beics Brenin,direct_sponsor_or_service_slot,"Coed y Brenin / Snowdonia mountain biking; bike hire","Existing research task and MTB service relevance","Pitch bike hire/service slot on MTB pages"
9,Antur Stiniog,premium_operator_or_direct_sponsor,"Snowdonia MTB/downhill; bike hire","Launch-priority operator in task queue","Build premium page; pitch featured MTB operator"
10,Snowdonia Watersports,premium_operator_or_service_slot,"Snowdonia kayaking; SUP; Bala/Llyn Padarn water content","Existing research output; service coverage","Pitch water activity partner slot once QA clears missing fields"
11,Bala Watersports,premium_operator_or_service_slot,"Bala/Snowdonia kayaking; sailing; watersports","Existing research output; AALA evidence","Pitch watersports featured placement and activity page rotation"
12,Adventure Parc Snowdonia,strategic_big_player_or_direct_sponsor,"Surfing; accommodation; Snowdonia region","Launch-visible strategic operator but status needs commercial review","MK decision required due closure/rebrand uncertainty before outreach"
13,Snowdonia Mountain Guides,premium_operator,"Snowdonia hiking; scrambling; guiding service slots","Operator task exists; strong guide service fit","Build/QA lure profile; pitch guide service placement"
14,Booking.com,affiliate_accommodation_feed,"Where-to-stay pages; itinerary accommodation partners","Priority start-here affiliate; easy integration","Apply/activate affiliate account; add as default accommodation fallback"
15,GetYourGuide,affiliate_activity_feed,"Activity pages; experience widgets; itinerary alternatives","Strong API/feed and base commission","Apply/activate; use as activity fallback where local direct missing"
16,Viator,affiliate_activity_backup,"Activity pages and attraction widgets","TripAdvisor trust; broad inventory","Apply as backup/alternative to GetYourGuide"
17,Trainline,affiliate_transport,"Getting-there sections; itinerary transport steps","Wales travel planning needs practical rail options","Add rail service slot for car-free itineraries and region hubs"
18,Rentalcars.com / Discover Cars,affiliate_car_hire,"Itineraries; road-trip content; region hubs","Wales adventure travel often requires car access","Use Rentalcars via Booking first; Discover Cars as higher-commission comparison"
19,Cotswold Outdoor / Snow+Rock,direct_or_affiliate_gear,"Hiking; climbing; camping; gear guides; answer pages","Strong fit for outdoor kit recommendations","Start affiliate; later pitch direct seasonal gear sponsor"
20,Wetsuit Outlet / Surfdome,affiliate_gear,"Surfing; coasteering; SUP; kayaking pages","Specific product fit for water activities","Add to water-sport gear/service slots"
