page_type,primary_slots,best_commercial_use,fallback,notes
Homepage,"hero_banner; featured_sponsor; newsletter_sponsor; footer_banner","Broad Wales-wide launch sponsor; newsletter sponsor; seasonal brand campaign","Affiliate hero/search modules; programmatic footer only","Keep homepage premium; one major sponsor max above fold"
Region hub,"hero_banner; sidebar_mpu; in_content_1; in_content_2; operator_spotlight; service_grid","Region sponsor; local operator spotlight; accommodation/transport/service slots","Premium operator rotation; Booking.com/Trainline/Rentalcars widgets; programmatic MPU","Highest direct sales page type after itineraries"
Activity listing,"top_banner; sidebar_mpu; featured_operator_after_3rd; bottom_banner; service_grid","Activity-specific sponsor or premium operator rotation","Affiliate gear/products/activity widgets; programmatic bottom only","Best for operator acquisition"
Single itinerary,"hero_sponsor_badge; day_sponsor; accommodation_partner; booking_cta; pdf_email_sponsor","Itinerary sponsorship; day-by-day operator placements; full-trip package partners","Accommodation; car hire; rail; activity affiliate CTAs","Most valuable context; sell as planned-trip inclusion"
Single activity/experience,"booking_card; similar_experiences; operator_info; offers","Operator own booking/offer only; upgrade prompts if stub/claimed","None except internal similar-experience links","No third-party ads"
Operator directory,"featured_partners; claim_cta_every_10; category_sponsor","Premium partner rotation; claim funnel; category sponsor","None or low-key programmatic after pagination","Useful for acquisition; do not dilute featured partners"
Operator profile - stub,"claim_banner; limited_media; upgrade_cta","Claim listing CTA","None","Sales asset, not ad inventory"
Operator profile - claimed,"verified_badge; contact_links; limited_offers","Premium upgrade CTA","None","Claimed is trust baseline; no competitor ads"
Operator profile - premium,"offers; booking_links; itinerary_appearances; analytics_promise","Operator own direct conversion","None","Premium page is ad-free"
Accommodation listing,"featured_property; booking_partner_strip; map_list_cards","Accommodation sponsor or premium local stays","Booking.com/Vrbo/Expedia widgets","Strong affiliate page and local accommodation target"
Events page,"featured_event; event_category_sponsor; newsletter_sponsor","Event sponsor; organiser upgrade; gear/transport sponsor","Ticketing/transport affiliate; programmatic bottom only","Sell by season/month"
Answer/FAQ page,"sidebar_mpu; bottom_banner; related_itinerary_cta; service_gear_link_block","Topic-specific affiliate/direct sponsor","Programmatic sidebar/bottom","Keep answer clean; monetise after quick answer"
Trip planner,"step_based_service_prompts; generated_itinerary_booking_cta; save_share_email_sponsor","High-value direct packages; concierge; transport/accommodation/activity partners","Affiliate widgets where no direct sponsor exists","Long-term highest value; requires approval before aggressive monetisation"
Guide/editorial page,"in_content_sponsor; gear_service_block; related_itinerary_cta","Gear; insurance; travel; activity platform sponsors","Affiliate products; programmatic bottom","Needs clear editorial labelling"
