name,slug,website,email,phone,regions,category,service_types,description,lat,lng,address,group_friendly
RAW Adventures,raw-adventures,https://www.raw-adventures.co.uk,info@raw-adventures.co.uk,01286 870870,North Wales,activity_provider,Guided Walks|Mountain Skills|Charity Events|DofE,"Based in Eryri (Snowdonia), North Wales, we operate outdoor adventures with qualified and trusted Mountain Leaders.",53.116,-4.128,"Llanberis",true
Climb Snowdon,climb-snowdon,https://climbsnowdon.co.uk,info@walesoutdoors.co.uk,,North Wales,activity_provider,Guided Walks|Private Guiding,"We’re all about you joining us on one of our open walks to the summit of the UK’s most popular mountain.",53.116,-4.128,"Llanberis",true
Plas y Brenin,plas-y-brenin,https://pyb.co.uk,info@pyb.co.uk,01690 720214,North Wales,activity_provider,Skills Coaching|Guided Walks|Women's Specific|NGB Training,"National Outdoor Centre. Courses for all levels in hiking, climbing, paddling and more.",53.101,-3.912,"Capel Curig",true
Wild Trails Wales,wild-trails-wales,https://wildtrailswales.com,info@wildtrailswales.com,,South Wales,activity_provider,Guided Walks|Private Guiding,"Hiking Routes, Informative Written Guides, Private Guiding and Navigation Skills.",51.9,-3.4,"Brecon Beacons",true
Wales Walking Holidays,wales-walking-holidays,https://www.waleswalkingholidays.com,info@waleswalkingholidays.com,07483 229606,North Wales|South Wales|Mid Wales,activity_provider,Self-Guided Tours|Multi-day Tours|Luggage Transfer,"We specialise in quality self-guided walking holidays for the independent traveller.",53.22,-4.16,"Menai Bridge",true
Anglesey Walking Holidays,anglesey-walking-holidays,https://angleseywalkingholidays.com,info@angleseywalkingholidays.com,07483 229606,North Wales,activity_provider,Self-Guided Tours|Luggage Transfer|Multi-day Tours,"Explore the unspoilt beauty of the Isle of Anglesey Coastal Path with bespoke self-guided walking itineraries.",53.22,-4.16,"Menai Bridge",true
Walk Hay,walk-hay,https://www.walkhay.co.uk,info@walkhay.co.uk,07570 946074,Mid Wales,activity_provider,Guided Walks|Private Guiding|Women's Specific|Charity Events,"Guided walks around Hay-on-Wye, Herefordshire & Brecon Beacons.",52.07,-3.12,"Hay-on-Wye",true
Mountain Walks,mountain-walks,https://www.mountain-walks.co.uk,info@mountain-walks.co.uk,,North Wales,activity_provider,Guided Walks|Mountain Skills|Charity Events,"Expert Guiding and Skills Training in the Lake District & Beyond, including Snowdonia.",53.1,-4.0,"Snowdonia",true
Kevin Walker Mountain Activities,kevin-walker-mountain-activities,https://www.mountain-activities.com,kevin@mountain-activities.com,01873 812166,Mid Wales,activity_provider,Skills Coaching|Personal Tuition|Guided Walks,"Long-established hill walking business based in the Brecon Beacons, offering small group instruction.",51.86,-3.13,"Crickhowell",true
Wales Outdoors,wales-outdoors,https://www.walesoutdoors.co.uk,info@walesoutdoors.co.uk,,South Wales,activity_provider,Guided Walks|Sightseeing Tours,"Guided hikes and tours in Wales through stunning Welsh landscapes.",51.48,-3.18,"Cardiff",true
Large Outdoors,large-outdoors,https://www.largeoutdoors.com,hello@largeoutdoors.com,07494 009331,North Wales|South Wales,activity_provider,Guided Walks|Multi-day Tours|Women's Specific|Wild Swimming,"Guided walking holidays with a sociable, club-like feel across the UK.",53.1,-4.0,"Snowdonia",true
Snowdonia Mountain Guides,snowdonia-mountain-guides,https://snowdoniamountainguides.com,mark.reeves@mac.com,,North Wales,activity_provider,Guided Walks|Scrambling|Mountain Skills|Private Guiding,"Rock Climbing, Scrambling, Mountaineering and Hillwalking in North Wales.",53.116,-4.128,"Llanberis",true
Edge of Wales Walk,edge-of-wales-walk,https://www.edgeofwaleswalk.co.uk,enquiries@edgeofwaleswalk.co.uk,01758 760652,North Wales,activity_provider,Self-Guided Tours|Luggage Transfer|Multi-day Tours,"Discover the spectacular scenery of the Llŷn Peninsula coast path with walking holiday packages.",52.80,-4.71,"Aberdaron",true
Contours Walking Holidays,contours-walking-holidays,https://www.contours.co.uk,info@contours.co.uk,01629 821 900,North Wales|South Wales|Mid Wales,activity_provider,Self-Guided Tours|Luggage Transfer|Dog Friendly,"Self-guided walking holidays in the UK, with expert advice, daily accommodation and luggage transfers.",53.1,-4.0,"UK Wide",true
Mickledore Walking Holidays,mickledore-walking-holidays,https://www.mickledore.co.uk,info@mickledore.co.uk,017687 72335,North Wales|South Wales|Mid Wales,activity_provider,Self-Guided Tours|Luggage Transfer,"Leading specialist in self guided walking holidays in the UK, providing a friendly and flexible service.",54.6,-3.13,"Keswick",true
Drover Holidays,drover-holidays,https://www.droverholidays.co.uk,info@droverholidays.co.uk,01497 821134,Mid Wales,activity_provider,Self-Guided Tours|Guided Walks|Dog Friendly|Bike Hire,"Walking & Cycling Holidays in Wales, covering the length and breadth of the country.",52.07,-3.12,"Hay-on-Wye",true
Compass Holidays,compass-holidays,https://www.compass-holidays.com,info@compass-holidays.com,01242 250 642,North Wales|South Wales,activity_provider,Self-Guided Tours|Cycling Tours|Luggage Transfer,"Creating self-guided walking holidays, cycling tours and activity breaks for over 30 years.",51.9,-2.0,"Cheltenham",true
Adventure Tours UK,adventure-tours-uk,https://adventuretoursuk.com,hello@adventuretoursuk.com,,North Wales|South Wales,activity_provider,Small Group Tours|Tailor-made|Self-Guided Tours|Trail Running,"Expertly-crafted group experiences and self-guided active tours in the UK's wild spaces.",53.11,-3.3,"Denbighshire",true
HF Holidays,hf-holidays,https://www.hfholidays.co.uk,info@hfholidays.co.uk,020 3974 8865,North Wales|South Wales,activity_provider,Guided Walks|Self-Guided Tours|Country House Stay|Groups,"Britain's only walking holiday co-operative, creating meaningful connections through shared experiences.",51.5,-0.1,"UK Wide",true
Ramble Worldwide,ramble-worldwide,https://www.rambleworldwide.co.uk,customersupport@rambleworldwide.co.uk,01707 817260,North Wales|South Wales,activity_provider,Guided Walks|Self-Guided Tours|Solo Travellers|Holidays,"The leading independent walking holiday specialist in the UK, trusted by thousands for over 75 years.",51.8,-0.2,"Welwyn Garden City",true
Macs Adventure,macs-adventure,https://www.macsadventure.com,hello@macsadventure.com,0141 530 8886,North Wales|South Wales,activity_provider,Self-Guided Tours|Luggage Transfer|Tailor-made,"Self-guided walking and cycling holidays for independent, active people who value freedom.",55.8,-4.2,"Glasgow",true
