name,slug,website,email,phone,regions,category,service_types,description,lat,lng,address,group_friendly
Adventure Britain,adventure-britain,https://www.adventurebritain.com,sales@adventurebritain.com,01639 700388,brecon-beacons|gower,activity_provider,canyoning|caving|climbing|gorge-walking|mtb,"Adventure Britain are a long-established activity provider based on the edge of the Brecon Beacons. With a focus on small group sizes, they deliver fantastic canyoning and gorge walking experiences that really get you into the heart of the Welsh landscape. They also offer a range of other exciting outdoor pursuits, including caving, climbing and mountain biking.",51.7586,-3.7394,"Ty Anturiaeth, 83 Church Rd, Seven Sisters, Neath, SA10 9DT",true
MUUK Adventures,muuk-adventures,https://www.muuk-adventures.com,,,pembrokeshire|snowdonia,activity_provider,coasteering|surfing|kayaking|mountain-challenges,"MUUK Adventures offers expertly guided outdoor experiences across Pembrokeshire and Snowdonia. Specializing in coasteering, surfing, kayaking and mountain challenges, they cater to all abilities, from families seeking a memorable day out to seasoned adventurers craving a thrill. What sets MUUK apart is their commitment to small group sizes.",51.8827,-5.2662,"St Davids, Pembrokeshire",true
Plas Menai,plas-menai,https://www.plasmenai.co.uk,enquiries@plasmenai.co.uk,0300 300 3111,anglesey|north-wales,activity_provider,sailing|powerboating|sea-kayaking|windsurfing,"Nestled on the shores of the Menai Strait, Plas Menai is a world-class outdoor pursuits centre offering an unmatched experience for water sports enthusiasts of all levels. Whether you're a seasoned sailor or a complete beginner, Plas Menai provides expert tuition and state-of-the-art facilities in a stunning location.",53.1505,-4.2213,"Plas Menai National Outdoor Centre, Caernarfon LL55 1UE",true
Plas y Brenin,plas-y-brenin,https://pyb.co.uk,info@pyb.co.uk,01690 720214,snowdonia,activity_provider,climbing|mountaineering|kayaking|hill-walking|mtb,"Plas y Brenin, the National Outdoor Centre, is a renowned hub for adventure training in the heart of Snowdonia. It offers a diverse range of courses, from introductory hill walking and rock climbing to advanced mountaineering and kayaking. The centre is perfect for individuals looking to improve their skills.",53.1034,-3.9103,"Capel Curig, Conwy LL24 0ET",true
Snowdonia Mountain Guides,snowdonia-mountain-guides,https://snowdoniamountainguides.com,,,snowdonia,activity_provider,rock-climbing|scrambling|hill-walking,"Snowdonia Mountain Guides are your gateway to exploring the stunning peaks and challenging routes of Snowdonia. Based in the heart of Llanberis, they offer a range of guided experiences from introductory rock climbing sessions to challenging scrambles and multi-day hill walking expeditions.",53.1163,-4.1275,"Llanberis area",true
TYF Adventure,tyf-adventure,https://www.tyf.com,enquiry@tyf.com,01437 721611,pembrokeshire,activity_provider,coasteering|sea-kayaking|surfing|climbing|sup,"TYF Adventure, based in the heart of St Davids, is a pioneering force in sustainable adventure tourism in Pembrokeshire. Founded by passionate environmentalists, they offer thrilling experiences that connect you with the rugged coastline while minimizing impact. Their coasteering adventures are legendary.",51.8824,-5.2641,"20 High Street, St Davids, Pembrokeshire SA62 6SD",true
Zip World,zip-world,https://www.zipworld.co.uk,info@zipworld.co.uk,01248 601444,snowdonia|south-wales,activity_provider,zip-lining|quarry-karts|bounce-below|adventure,"Zip World offers a portfolio of thrilling adventure activities across North and South Wales. Set against the dramatic backdrops of slate quarries and stunning natural landscapes, these experiences are designed to get your adrenaline pumping. From the fastest zip lines in the world to underground adventures and family-friendly bounce parks.",53.1991,-4.0659,"Penrhyn Quarry, Bethesda LL57 4YG",true
AberAdventures,aberadventures,https://www.aberadventures.co.uk,info@aberadventures.co.uk,07977 549975,mid-wales,activity_provider,surfing|sup|kayaking,"AberAdventures is your go-to for aquatic adventures based right on the beautiful beach at Borth, Mid Wales. Run by experienced local instructors, they offer surfing, stand-up paddleboarding (SUP), and kayaking lessons and rentals to suit all abilities.",52.5049,-4.0407,"Borth, Ceredigion SY24 5JS",true
Abersoch Sailing School,abersoch-sailing-school,https://www.abersochsailingschool.co.uk,,,ll-n-peninsula,activity_provider,sailing-courses|powerboating,"Nestled in the heart of Abersoch, this sailing school offers an excellent base for exploring the stunning waters of Cardigan Bay. They provide a range of RYA-certified courses from beginner to advanced, plus powerboating tuition.",52.8198,-4.5158,"Abersoch, Llŷn",true
Abersoch Watersports,abersoch-watersports,https://www.abersochwatersports.co.uk,,,ll-n-peninsula,activity_provider,jet-ski|powerboat-tours|watersports,"Abersoch Watersports provides a range of exhilarating activities right on the stunning Llŷn Peninsula. Perfect for families, thrill-seekers, and anyone looking to make a splash, they offer jet ski experiences that let you explore the coastline at your own pace.",52.8294,-4.5057,"Abersoch, Llŷn",true
