name,slug,website,email,phone,regions,category,service_types,description,lat,lng,address,group_friendly
BikePark Wales,bikepark-wales,https://www.bikeparkwales.com,info@bikeparkwales.com,01443 836455,South Wales|Brecon Beacons,activity_provider,"Mountain Biking|Bike Hire|Uplift Service","The UK's premier mountain bike park with uplift service and diverse trails.",51.717,-3.361,"Pentrebach, Merthyr Tydfil",true
Beics Brenin,beics-brenin,https://www.beicsbrenin.co.uk,,01341 440728,North Wales|Snowdonia,activity_provider,"Bike Hire|Shop","The trail head bike shop at Coed y Brenin, offering quality bike hire.",52.809,-3.896,"Coed y Brenin, Dolgellau",false
Summit Cycles,summit-cycles,https://summitcycles.co.uk,info@summitcycles.co.uk,01654 703122,Mid Wales,activity_provider,"Bike Hire|Shop","Bike shop and hire in Machynlleth, serving the Dyfi Valley.",52.590,-3.850,"Machynlleth",false
Pedalabikeaway,pedalabikeaway,https://pedalabikeaway.co.uk,info@pedalabikeaway.co.uk,01594 729000,South Wales|Wye Valley,activity_provider,"Bike Hire|Cafe","Located in the Forest of Dean, offering bike hire for all abilities.",51.800,-2.600,"Cannop Valley, Coleford",true
Drover Cycles,drover-cycles,https://www.drovercycles.co.uk,info@drovercycles.co.uk,01497 822419,Mid Wales|Brecon Beacons,activity_provider,"Bike Hire|Guided Rides","Bike hire and guided tours in the Brecon Beacons and Hay-on-Wye.",52.040,-3.143,"Hay-on-Wye",true
Adventure Parc Snowdonia,adventure-parc-snowdonia,https://adventureparcsnowdonia.com,info@adventureparcsnowdonia.com,01492 353123,North Wales|Snowdonia,activity_provider,"Surf Hire|Bike Hire|Adventure Park","Adventure park with inland surf lagoon, pump track and trails.",53.189,-3.839,"Dolgarrog",true
Oneplanet Adventure,oneplanet-adventure,https://oneplanetadventure.com,hello@oneplanetadventure.com,01978 751656,North Wales,activity_provider,"Bike Hire|Coaching|Cafe","Located in Coed Llandegla Forest, offering bike hire and courses.",53.056,-3.212,"Llandegla",true
Antur Stiniog,antur-stiniog,https://www.anturstiniog.com,info@anturstiniog.com,01766 238007,North Wales|Snowdonia,activity_provider,"Bike Hire|Uplift Service","Uplift assisted downhill mountain biking in Snowdonia with bike hire.",52.994,-3.939,"Blaenau Ffestiniog",true
Funsport Rhosneigr,funsport-rhosneigr,https://www.funsportonline.co.uk,info@funsportonline.co.uk,01407 810899,Anglesey,activity_provider,"Kitesurf Hire|Windsurf Hire|Shop","Watersports shop and hire centre right on the beach in Rhosneigr.",53.228,-4.520,"Rhosneigr",false
Gecko Surf,gecko-surf,https://www.geckosurf.co.uk,info@geckosurf.co.uk,01407 810000,Anglesey,activity_provider,"Surf Hire|Kitesurf Hire|Lessons","Friendly local surf school offering personalised tuition and hire.",53.228,-4.520,"Rhosneigr",true
Llangennith Surf School,llangennith-surf-school,https://www.llangennithsurf.co.uk,info@llangennithsurf.co.uk,07790 376590,Gower,activity_provider,"Surf Hire|Lessons","Surf school offering lessons and hire at Llangennith beach.",51.590,-4.290,"Llangennith",true
AberAdventures,aberadventures,https://www.aberadventures.co.uk,info@aberadventures.co.uk,07977 549975,Mid Wales,activity_provider,"Surf Hire|SUP Hire|Kayak Hire","Surfing, SUP, and kayaking lessons and rentals at Borth beach.",52.490,-4.050,"Borth",true
Abersoch Watersports,abersoch-watersports,https://www.abersochwatersports.co.uk,,01758 712483,Llŷn Peninsula,activity_provider,"Jet Ski Hire|Powerboat","Watersports centre in Abersoch offering various hire options.",52.825,-4.500,"Abersoch",true
Outer Reef Surf School,outer-reef-surf-school,https://www.outerreefsurfschool.com,info@outerreefsurfschool.com,01646 680070,Pembrokeshire,activity_provider,"Surf Hire|Lessons","Surf school and hire based in Pembrokeshire.",51.780,-5.100,"Broad Haven",true
Oxwich Watersports,oxwich-watersports,https://www.oxwichwatersports.co.uk,info@oxwichwatersports.co.uk,,Gower,activity_provider,"Kayak Hire|SUP Hire","Watersports centre at Oxwich Bay offering hire and lessons.",51.555,-4.160,"Oxwich Bay",true
Preseli Venture,preseli-venture,https://www.preseliventure.co.uk,info@preseliventure.co.uk,01348 837709,Pembrokeshire,activity_provider,"Equipment Hire|Coasteering","Adventure centre offering equipment hire and guided activities.",51.950,-5.180,"Mathry",true
Pro Kitesurfing,pro-kitesurfing,https://www.prokitesurfing.co.uk,info@prokitesurfing.co.uk,07999 026080,Anglesey,activity_provider,"Kitesurf Hire|Lessons","Kitesurfing lessons and equipment hire on Anglesey.",53.160,-4.400,"Newborough",false
Rip N Rock,rip-n-rock,https://www.ripnrock.co.uk,info@ripnrock.co.uk,07967 322455,Gower,activity_provider,"Equipment Hire|Coasteering","Adventure provider offering equipment hire and guided tours.",51.620,-3.940,"Swansea",true
